PartitionKey,RowKey
0d4e57de-edf9-11e4-afb2-0050569f8012,Household
0d4e59d2-edf9-11e4-afb2-0050569f8012,Bedding-Bath
0d4e5a22-edf9-11e4-afb2-0050569f8012,Children's Goods
0d4e5a54-edf9-11e4-afb2-0050569f8012,Appliances - Small
0d4e5a7c-edf9-11e4-afb2-0050569f8012,Appliances - Large
0d4e5aae-edf9-11e4-afb2-0050569f8012,Building-Home Improvement
0d4e5ae0-edf9-11e4-afb2-0050569f8012,Wearables
0d4e5b12-edf9-11e4-afb2-0050569f8012,Useable Electronics
0d4e5b4e-edf9-11e4-afb2-0050569f8012,Sporting Equipment-Camping
0d4e5b8a-edf9-11e4-afb2-0050569f8012,Garden
0d4e5bc6-edf9-11e4-afb2-0050569f8012,Food
0d4e5c0c-edf9-11e4-afb2-0050569f8012,Medical Supplies
0d4e5c52-edf9-11e4-afb2-0050569f8012,Office Equipment
0d4e5c98-edf9-11e4-afb2-0050569f8012,Packing Materials
0d4e5ce8-edf9-11e4-afb2-0050569f8012,Miscellaneous
0d4e5d42-edf9-11e4-afb2-0050569f8012,Repair Items
