PartitionKey,RowKey
0d4ec318-edf9-11e4-afb2-0050569f8012,Arts and Crafts
0d4ec4f8-edf9-11e4-afb2-0050569f8012,Barbeque Grills
0d4ec548-edf9-11e4-afb2-0050569f8012,Books
0d4ec57a-edf9-11e4-afb2-0050569f8012,Canning Jars
0d4ec5a2-edf9-11e4-afb2-0050569f8012,Cleaning Supplies
0d4ec5d4-edf9-11e4-afb2-0050569f8012,Clothes Hangers
0d4ec606-edf9-11e4-afb2-0050569f8012,Cookware
0d4ec638-edf9-11e4-afb2-0050569f8012,Dishes
0d4ec66a-edf9-11e4-afb2-0050569f8012,Fabric
0d4ec6a6-edf9-11e4-afb2-0050569f8012,Food Storage Containers
0d4ec6e2-edf9-11e4-afb2-0050569f8012,Furniture
0d4ec728-edf9-11e4-afb2-0050569f8012,Luggage
0d4ec76e-edf9-11e4-afb2-0050569f8012,Mattresses
0d4ec7b4-edf9-11e4-afb2-0050569f8012,Ornaments
0d4ec7fa-edf9-11e4-afb2-0050569f8012,Toiletries
0d4ec84a-edf9-11e4-afb2-0050569f8012,Utensils
0d4ec89a-edf9-11e4-afb2-0050569f8012,Blankets
0d4ec8ea-edf9-11e4-afb2-0050569f8012,Comforters
0d4ec944-edf9-11e4-afb2-0050569f8012,Linens
0d4ec99e-edf9-11e4-afb2-0050569f8012,Sheets
0d4ec9f8-edf9-11e4-afb2-0050569f8012,Small Rugs
0d4eca5c-edf9-11e4-afb2-0050569f8012,Towels
0d4ecab6-edf9-11e4-afb2-0050569f8012,Baby Carriers
0d4ecb24-edf9-11e4-afb2-0050569f8012,Baby Gates
0d4ecb88-edf9-11e4-afb2-0050569f8012,Bike Trailers-Seats
0d4ecbf6-edf9-11e4-afb2-0050569f8012,Child Car Seats
0d4ecc64-edf9-11e4-afb2-0050569f8012,Children's Books
0d4eccdc-edf9-11e4-afb2-0050569f8012,Children's Clothes
0d4ece08-edf9-11e4-afb2-0050569f8012,Crayons
0d4ece30-edf9-11e4-afb2-0050569f8012,Cribs
0d4ece62-edf9-11e4-afb2-0050569f8012,Diapers-Diaper Bags
0d4ece94-edf9-11e4-afb2-0050569f8012,High Chairs
0d4ecec6-edf9-11e4-afb2-0050569f8012,Maternity
0d4ecef8-edf9-11e4-afb2-0050569f8012,Musical Instruments
0d4ecf34-edf9-11e4-afb2-0050569f8012,Nursing Items
0d4ecf7a-edf9-11e4-afb2-0050569f8012,Playpens
0d4ecfb6-edf9-11e4-afb2-0050569f8012,School Supplies
0d4ecffc-edf9-11e4-afb2-0050569f8012,Strollers
0d4ed042-edf9-11e4-afb2-0050569f8012,Toys
0d4ed088-edf9-11e4-afb2-0050569f8012,Blenders
0d4ed0d8-edf9-11e4-afb2-0050569f8012,Dehumidifiers
0d4ed128-edf9-11e4-afb2-0050569f8012,Fans
0d4ed178-edf9-11e4-afb2-0050569f8012,Microwaves
0d4ed1d2-edf9-11e4-afb2-0050569f8012,Space Heaters
0d4ed22c-edf9-11e4-afb2-0050569f8012,Toasters
0d4ed286-edf9-11e4-afb2-0050569f8012,Vacuum Cleaners
0d4ed2ea-edf9-11e4-afb2-0050569f8012,Dishwashers
0d4ed39e-edf9-11e4-afb2-0050569f8012,Freezers
0d4ed45c-edf9-11e4-afb2-0050569f8012,Refrigerators
0d4ed524-edf9-11e4-afb2-0050569f8012,Stoves
0d4ed5f6-edf9-11e4-afb2-0050569f8012,Washers-Dryers
0d4ed6be-edf9-11e4-afb2-0050569f8012,Bricks
0d4ed786-edf9-11e4-afb2-0050569f8012,Carpet Padding
0d4ed84e-edf9-11e4-afb2-0050569f8012,Carpets
0d4ed92a-edf9-11e4-afb2-0050569f8012,Ceramic Tiles
0d4eda60-edf9-11e4-afb2-0050569f8012,Doors
0d4edab0-edf9-11e4-afb2-0050569f8012,Drywall
0d4edb00-edf9-11e4-afb2-0050569f8012,Electrical Supplies
0d4edb50-edf9-11e4-afb2-0050569f8012,Hand Tools
0d4edbaa-edf9-11e4-afb2-0050569f8012,Hardware
0d4edc0e-edf9-11e4-afb2-0050569f8012,Insulation
